Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,68.870003,69.379997,67.690002,68.879997,68.025719,831000
2020-07-27,69.889999,71.489998,69.830002,71.360001,70.474968,459600
2020-07-28,70.279999,70.410004,69.419998,69.800003,68.934311,373400
2020-07-29,70.360001,71.639999,70.320000,71.309998,70.425583,270800
2020-07-30,70.949997,72.790001,70.930000,72.769997,71.867470,363200
2020-07-31,73.239998,73.370003,71.959999,73.220001,72.311897,371400
2020-08-03,73.760002,74.480003,73.570000,74.019997,73.101967,492100
2020-08-04,72.029999,72.959999,72.000000,72.930000,72.025490,334000
2020-08-05,73.279999,73.949997,73.190002,73.860001,72.943954,308700
2020-08-06,73.820000,74.550003,73.209999,74.379997,73.457504,286000
2020-08-07,74.019997,74.309998,72.089996,73.029999,72.124252,579600
2020-08-10,72.029999,72.519997,71.260002,72.070000,71.176155,381100
2020-08-11,71.940002,72.860001,71.699997,71.849998,70.958885,379600
2020-08-12,73.010002,74.269997,72.599998,73.739998,72.825447,236600
2020-08-13,74.070000,75.250000,73.949997,74.570000,73.645149,338200
2020-08-14,74.449997,74.650002,73.510002,73.779999,72.864952,200400
2020-08-17,74.739998,75.919998,74.730003,75.589996,74.652496,316600
2020-08-18,74.040001,74.660004,73.629997,74.570000,73.645149,397700
2020-08-19,74.540001,75.360001,74.190002,74.489998,73.566139,444000
2020-08-20,74.730003,75.580002,74.459999,75.519997,74.583366,264800
2020-08-21,73.559998,74.910004,73.410004,74.830002,73.901932,501700
2020-08-24,75.050003,75.080002,73.800003,74.150002,73.230362,400300
2020-08-25,73.879997,74.070000,73.410004,73.889999,72.973587,390200
2020-08-26,74.019997,74.989998,73.889999,74.820000,73.892052,331500
2020-08-27,75.000000,75.000000,72.199997,72.849998,71.946480,492100
2020-08-28,72.000000,72.669998,71.790001,72.309998,71.413177,629900
2020-08-31,73.489998,76.000000,73.459999,74.779999,73.852547,1103200
2020-09-01,75.500000,76.080002,74.889999,75.839996,74.899399,592200
2020-09-02,76.059998,76.529999,74.870003,75.599998,74.662376,525300
2020-09-03,74.000000,74.010002,70.029999,70.430000,69.556496,865900
2020-09-04,70.180000,70.750000,67.800003,70.120003,69.250343,727100
2020-09-08,67.250000,68.629997,66.779999,66.879997,66.050522,684900
2020-09-09,69.120003,70.040001,68.589996,69.550003,68.687416,510600
2020-09-10,70.110001,70.169998,67.879997,68.169998,67.324524,367200
2020-09-11,69.820000,70.040001,68.190002,68.779999,67.926964,425900
2020-09-14,69.970001,70.809998,69.879997,70.480003,69.605881,343800
2020-09-15,71.519997,71.820000,70.389999,71.029999,70.149055,422100
2020-09-16,72.260002,72.440002,70.019997,70.040001,69.171333,315900
2020-09-17,70.540001,71.389999,69.809998,70.470001,69.596001,916900
2020-09-18,72.209999,72.209999,69.709999,70.580002,70.580002,936900
2020-09-21,71.000000,73.360001,70.650002,73.260002,73.260002,705900
2020-09-22,72.580002,73.449997,71.709999,73.300003,73.300003,444400
2020-09-23,73.669998,74.639999,72.889999,72.980003,72.980003,534700
2020-09-24,70.919998,76.980003,70.720001,73.220001,73.220001,2661300
2020-09-25,71.959999,73.220001,71.720001,73.139999,73.139999,640700
2020-09-28,73.339996,75.080002,73.150002,74.980003,74.980003,659800
2020-09-29,75.660004,77.510002,75.599998,77.139999,77.139999,615600
